feature,mean_importance
ANXIETY,0.0023579531159967832
GENDER,0.009277244743334436
COUGHING,0.012514745116497342
SMOKING,0.013438541583798019
CHEST PAIN,0.014341603180309115
SHORTNESS OF BREATH,0.01689379560793474
YELLOW_FINGERS,0.03215450393465141
WHEEZING,0.038672122640753946
AGE,0.03949903900524135
CHRONIC DISEASE,0.07348322869757457
PEER_PRESSURE,0.08166169369454722
ALCOHOL CONSUMING,0.08387228651808133
SWALLOWING DIFFICULTY,0.10346303384603876
FATIGUE ,0.1528222194562973
ALLERGY ,0.36513931009252365
