feature,mean_importance
ANXIETY,-0.00031917043685440185
AGE,0.002925468167689041
YELLOW_FINGERS,0.003366785975618647
COUGHING,0.014938492055488148
CHEST PAIN,0.01764262334493428
ALCOHOL CONSUMING,0.02176631672772034
WHEEZING,0.02856700720601474
SMOKING,0.03215813409498143
CHRONIC DISEASE,0.042733419184806685
SWALLOWING DIFFICULTY,0.05284703702777599
PEER_PRESSURE,0.06523535438870016
GENDER,0.07230140694054835
ALLERGY ,0.08443967457073444
SHORTNESS OF BREATH,0.15817916540671156
FATIGUE ,0.19766968596895354
