feature,mean_importance
Dist_Cluster_13,-0.003004833976732191
CHEST PAIN,-0.0016614754422668355
WHEEZING,-0.00035203051184249377
FATIGUE ,-0.00016528426196762424
SMOKING,-0.0001648190877281852
SWALLOWING DIFFICULTY,-1.5216792766831188e-05
COUGHING,-3.9606839540407e-06
ALCOHOL CONSUMING,-2.7478111081002953e-06
CHRONIC DISEASE,0.0
SHORTNESS OF BREATH,0.0
random_feature,0.0002027273480639913
PEER_PRESSURE,0.00024069550693487374
ANXIETY,0.00026175247664682045
Cluster,0.00026922276836235937
GENDER,0.0003623239836260117
Dist_Cluster_10,0.0009019336304181335
YELLOW_FINGERS,0.001427833176421911
Dist_Cluster_0,0.0014873701700039376
AGE,0.003000484846549878
Dist_Cluster_14,0.0030138194549829077
ALLERGY ,0.003476224201523226
Dist_Cluster_1,0.0051287512309619145
Dist_Cluster_12,0.006186999045922953
Dist_Cluster_8,0.007596159231116428
Dist_Cluster_2,0.015555175284719664
Dist_Cluster_11,0.016185952868120905
Dist_Cluster_5,0.01806284470474947
Dist_Cluster_6,0.025384053550428276
Dist_Cluster_3,0.0423487350082477
Dist_Cluster_7,0.04333206983483328
Dist_Cluster_4,0.13612778098454337
Dist_Cluster_9,0.3432086175026078
