name,model_type,metric_type,metric_value,train_time
1_DecisionTree,Decision Tree,f1,0.8571428571428571,3.92
2_DecisionTree,Decision Tree,f1,0.9102844638949672,3.54
3_DecisionTree,Decision Tree,f1,0.9102844638949672,3.63
4_Linear,Linear,f1,0.9288888888888889,9.62
5_Default_LightGBM,LightGBM,f1,0.9646017699115044,6.37
6_Default_Xgboost,Xgboost,f1,0.9623059866962306,5.76
7_Default_CatBoost,CatBoost,f1,0.9647577092511013,5.6
8_Default_NeuralNetwork,Neural Network,f1,0.9538461538461539,5.02
9_Default_RandomForest,Random Forest,f1,0.935064935064935,6.95
10_Default_ExtraTrees,Extra Trees,f1,0.9264069264069265,6.33
11_Default_NearestNeighbors,Nearest Neighbors,f1,0.9124423963133641,4.62
21_LightGBM,LightGBM,f1,0.9401709401709402,5.95
12_Xgboost,Xgboost,f1,0.9492273730684326,6.78
30_CatBoost,CatBoost,f1,0.9644444444444444,6.38
39_RandomForest,Random Forest,f1,0.9601769911504425,7.12
48_ExtraTrees,Extra Trees,f1,0.9429824561403509,7.19
57_NeuralNetwork,Neural Network,f1,0.9419642857142857,5.63
66_NearestNeighbors,Nearest Neighbors,f1,0.8899297423887588,5.4
22_LightGBM,LightGBM,f1,0.9671772428884027,7.03
13_Xgboost,Xgboost,f1,0.9626373626373627,7.5
31_CatBoost,CatBoost,f1,0.9623059866962306,7.3
40_RandomForest,Random Forest,f1,0.9250535331905781,8.0
49_ExtraTrees,Extra Trees,f1,0.9432314410480349,8.32
58_NeuralNetwork,Neural Network,f1,0.9401330376940134,6.86
67_NearestNeighbors,Nearest Neighbors,f1,0.9272727272727272,6.18
23_LightGBM,LightGBM,f1,0.9667405764966741,8.46
14_Xgboost,Xgboost,f1,0.8953229398663697,7.52
32_CatBoost,CatBoost,f1,0.9668874172185431,7.88
41_RandomForest,Random Forest,f1,0.9049586776859504,8.73
50_ExtraTrees,Extra Trees,f1,0.9051724137931034,9.32
59_NeuralNetwork,Neural Network,f1,0.9368191721132898,7.8
68_NearestNeighbors,Nearest Neighbors,f1,0.9272727272727272,7.08
