feature,mean_importance
GENDER,-2.2204460492503132e-17
SMOKING,0.00019725098983987
ANXIETY,0.0012830447109541232
CHRONIC DISEASE,0.0034119534580334177
AGE,0.004402670362604394
SHORTNESS OF BREATH,0.009487588346344772
COUGHING,0.011691435760328151
CHEST PAIN,0.027068762261492546
WHEEZING,0.02798033664516446
YELLOW_FINGERS,0.02877428669049441
FATIGUE ,0.03727442786171446
SWALLOWING DIFFICULTY,0.056331581479530345
ALCOHOL CONSUMING,0.11730070631992037
PEER_PRESSURE,0.15990160727102115
ALLERGY ,0.22814448380369062
