feature,mean_importance
AGE,-0.00026523647046368116
GENDER,1.717855921106737e-05
ANXIETY,0.00027226593442464253
CHEST PAIN,0.003523187925614679
SHORTNESS OF BREATH,0.005229952301502217
SMOKING,0.01164438794354834
SWALLOWING DIFFICULTY,0.020377677731744037
YELLOW_FINGERS,0.022238505461899493
WHEEZING,0.04391410144136669
ALCOHOL CONSUMING,0.05006181005716319
CHRONIC DISEASE,0.06557411509641826
PEER_PRESSURE,0.0762194550980462
ALLERGY ,0.07886227742597908
COUGHING,0.07950615956057638
FATIGUE ,0.19092006226483293
