feature,mean_importance
GENDER,-5.551115123125783e-18
SMOKING,0.0004633683854485149
ANXIETY,0.0019283178018107195
CHRONIC DISEASE,0.003503095745768958
AGE,0.00570144523075487
SHORTNESS OF BREATH,0.00997212772030115
COUGHING,0.01779448491968997
YELLOW_FINGERS,0.02475843012252969
WHEEZING,0.028992121471891286
CHEST PAIN,0.03259508350977787
FATIGUE ,0.03994728598516927
SWALLOWING DIFFICULTY,0.05699205645331649
ALCOHOL CONSUMING,0.09311180561689984
PEER_PRESSURE,0.13572034139554207
ALLERGY ,0.22548453575535152
