feature,mean_importance
ANXIETY,0.0016209467396332
COUGHING,0.002232364503111134
SHORTNESS OF BREATH,0.007560281465267571
SMOKING,0.007934054270573332
GENDER,0.008878046422805586
CHEST PAIN,0.01881748466098303
CHRONIC DISEASE,0.020327358311541727
AGE,0.023890358418890888
YELLOW_FINGERS,0.02696298058048237
WHEEZING,0.03510609814868179
FATIGUE ,0.07592414159042424
SWALLOWING DIFFICULTY,0.11018386019826527
ALCOHOL CONSUMING,0.12244955926163434
PEER_PRESSURE,0.14624525928644092
ALLERGY ,0.3249480796118164
