feature,mean_importance
GENDER,1.6653345369377347e-17
SMOKING,0.0001972509898399144
ANXIETY,0.0012830447109541455
CHRONIC DISEASE,0.0034119534580334563
AGE,0.004402670362604433
SHORTNESS OF BREATH,0.009487588346344816
COUGHING,0.011691435760328179
CHEST PAIN,0.027068762261492574
WHEEZING,0.027980336645164493
YELLOW_FINGERS,0.028774286690494432
FATIGUE ,0.03727442786171449
SWALLOWING DIFFICULTY,0.056331581479530365
ALCOHOL CONSUMING,0.11730070631992043
PEER_PRESSURE,0.15990160727102115
ALLERGY ,0.22814448380369062
