feature,mean_importance
GENDER,1.6653345369377347e-17
SMOKING,0.00025954026386428854
ANXIETY,0.0015369741063461172
CHRONIC DISEASE,0.0028843237410626386
AGE,0.005335044909485309
SHORTNESS OF BREATH,0.007937782342628314
COUGHING,0.014174729027569343
YELLOW_FINGERS,0.02783138239997816
CHEST PAIN,0.028789234958875594
WHEEZING,0.03249737782230803
FATIGUE ,0.03790772251929342
SWALLOWING DIFFICULTY,0.06390519797815089
ALCOHOL CONSUMING,0.10271549606781309
PEER_PRESSURE,0.1433217367247892
ALLERGY ,0.23524906041332527
