feature,mean_importance
COUGHING_sum_ALLERGY ,-0.00017939874925245735
ALCOHOL CONSUMING_sum_ALLERGY ,-1.0118276666581938e-05
ALLERGY ,5.908317646241556e-09
GENDER,3.9110323763902335e-05
SWALLOWING DIFFICULTY,4.61333943840847e-05
CHEST PAIN_sum_PEER_PRESSURE,5.9547184447417135e-05
SHORTNESS OF BREATH,0.002059566934462653
COUGHING,0.0027105277262541748
CHRONIC DISEASE,0.002900243490860088
PEER_PRESSURE,0.003029130261340951
CHEST PAIN,0.004370121108220914
SWALLOWING DIFFICULTY_sum_COUGHING,0.006488975080008563
ANXIETY,0.007699237216833044
YELLOW_FINGERS,0.01111797057034435
WHEEZING_sum_ALLERGY ,0.011551129508880731
SWALLOWING DIFFICULTY_sum_ALCOHOL CONSUMING,0.014593401962526864
SMOKING,0.016979501872763925
ALCOHOL CONSUMING,0.02549694396016622
AGE,0.026446311155660606
ALLERGY _sum_YELLOW_FINGERS,0.027323976796212235
WHEEZING,0.03864672755410283
FATIGUE ,0.05212338374039223
ALCOHOL CONSUMING_sum_PEER_PRESSURE,0.058444336854867565
SWALLOWING DIFFICULTY_sum_ALLERGY ,0.06082967448585702
ALLERGY _sum_PEER_PRESSURE,0.1292483662256299
