feature,mean_importance
PEER_PRESSURE,0.0
COUGHING,0.0
ALCOHOL CONSUMING,0.0004561877319953195
ALLERGY ,0.0013530510093018062
SMOKING,0.0022096904934515186
CHEST PAIN,0.0025480427071816413
YELLOW_FINGERS,0.004036646878306518
SWALLOWING DIFFICULTY,0.005647345908172138
WHEEZING,0.005660787580710788
GENDER,0.005959530514758199
ANXIETY,0.01287959844002896
SHORTNESS OF BREATH,0.016050555072307914
CHRONIC DISEASE,0.017335757797082126
ALLERGY _sum_YELLOW_FINGERS,0.017379030887958054
SWALLOWING DIFFICULTY_sum_ALLERGY ,0.021986585296127802
COUGHING_sum_ALLERGY ,0.026136422509736384
CHEST PAIN_sum_PEER_PRESSURE,0.026306449674486632
AGE,0.03338704697279241
ALCOHOL CONSUMING_sum_PEER_PRESSURE,0.03422927232622543
SWALLOWING DIFFICULTY_sum_COUGHING,0.03464434968468654
ALLERGY _sum_PEER_PRESSURE,0.03698980607963103
ALCOHOL CONSUMING_sum_ALLERGY ,0.038259743008673325
SWALLOWING DIFFICULTY_sum_ALCOHOL CONSUMING,0.03868468459539705
FATIGUE ,0.042562536572930756
WHEEZING_sum_ALLERGY ,0.04807712348153152
