feature,mean_importance
COUGHING,-0.004061350022137705
SHORTNESS OF BREATH,-0.0018925529610631432
GENDER,0.0008664561699194773
ANXIETY,0.0011256837315857028
SMOKING,0.012650354013845528
CHEST PAIN,0.012740685610785774
CHRONIC DISEASE,0.015299277127595195
WHEEZING,0.025382262148547562
FATIGUE ,0.025435756436556812
SWALLOWING DIFFICULTY,0.028762036409614965
AGE,0.03840099463853281
YELLOW_FINGERS,0.07160445364521775
ALCOHOL CONSUMING,0.09734130652316482
PEER_PRESSURE,0.10857080013713069
ALLERGY ,0.3617297055626743
