feature,mean_importance
CHRONIC DISEASE,0.006283373462096509
CHEST PAIN,0.007190028836191631
SMOKING,0.007198464522107828
GENDER,0.010205280256003656
AGE,0.012572367964284547
SHORTNESS OF BREATH,0.016828443772721503
WHEEZING,0.01848490290741591
SWALLOWING DIFFICULTY,0.023530860661305573
ANXIETY,0.02768383879838939
YELLOW_FINGERS,0.03638920628542589
COUGHING,0.037664456849415995
FATIGUE ,0.0474756927881538
PEER_PRESSURE,0.053081225121761985
ALLERGY ,0.0732913491751267
ALCOHOL CONSUMING,0.0916609247111884
