feature,mean_importance
COUGHING,0.002814543938542152
SHORTNESS OF BREATH,0.004707346434681431
ANXIETY,0.005480741457597149
CHEST PAIN,0.009323621766931406
SMOKING,0.013557782601000185
GENDER,0.01562503635064083
CHRONIC DISEASE,0.018066718940480342
FATIGUE ,0.019326368326424693
AGE,0.03107625057957753
WHEEZING,0.049560426459077704
SWALLOWING DIFFICULTY,0.05442081830003912
YELLOW_FINGERS,0.06427662321935028
ALCOHOL CONSUMING,0.06735217963386601
PEER_PRESSURE,0.2174792854733838
ALLERGY ,0.3289604250158331
