feature,mean_importance
GENDER,-0.0015148134266565027
ANXIETY,0.0017964845774520843
SMOKING,0.0019496961816548252
CHEST PAIN,0.0061810514268300755
CHRONIC DISEASE,0.010328373773411392
AGE,0.012057938445132565
SHORTNESS OF BREATH,0.012371584545646441
COUGHING,0.017661324528176137
YELLOW_FINGERS,0.036061346624879434
FATIGUE ,0.05017363191207676
ALCOHOL CONSUMING,0.05239293750104609
WHEEZING,0.05339545495186575
SWALLOWING DIFFICULTY,0.06468309391652358
PEER_PRESSURE,0.13130134988412595
ALLERGY ,0.14613011845814156
