feature,mean_importance
SMOKING,0.0015633349778867212
GENDER,0.0025593854346633695
SHORTNESS OF BREATH,0.002786279823095844
ANXIETY,0.004477158980938045
AGE,0.005864872888707134
CHRONIC DISEASE,0.01029488648118147
YELLOW_FINGERS,0.026248143765395908
CHEST PAIN,0.026262997568851882
COUGHING,0.03574378888550413
FATIGUE ,0.04475334151256808
SWALLOWING DIFFICULTY,0.05074624326003665
WHEEZING,0.07084529114397967
ALCOHOL CONSUMING,0.08534513493131905
PEER_PRESSURE,0.10563949772760554
ALLERGY ,0.1690278328262242
