feature,mean_importance
ANXIETY,-0.01267533440643962
GENDER,-0.003751156291321822
AGE,-0.0003129064135569404
CHEST PAIN,0.002401438382847609
SWALLOWING DIFFICULTY,0.0064651202396529385
SMOKING,0.00992342698590884
YELLOW_FINGERS,0.013967118630701358
SHORTNESS OF BREATH,0.01601319289247586
ALCOHOL CONSUMING,0.02046489971571456
WHEEZING,0.024020125270331726
COUGHING,0.03570203663501786
CHRONIC DISEASE,0.05989555752696678
PEER_PRESSURE,0.08194747581323497
ALLERGY ,0.08582693112407289
FATIGUE ,0.13312308146424787
