feature,mean_importance
PEER_PRESSURE,0.0005093563463186013
ALLERGY ,0.0011194762676070668
SWALLOWING DIFFICULTY,0.0011213905717578827
COUGHING,0.0013092735402785605
ALCOHOL CONSUMING,0.0013518461093520895
WHEEZING,0.0016856554809820956
GENDER,0.0024694279746148517
YELLOW_FINGERS,0.003637809435779926
CHEST PAIN,0.004367518129376827
ALCOHOL CONSUMING_sum_ALLERGY ,0.006940374446423855
COUGHING_sum_ALLERGY ,0.00790535914949173
SWALLOWING DIFFICULTY_sum_COUGHING,0.008502788829867148
SWALLOWING DIFFICULTY_sum_ALCOHOL CONSUMING,0.00915461062879594
ALLERGY _sum_PEER_PRESSURE,0.01208301710335562
ALCOHOL CONSUMING_sum_PEER_PRESSURE,0.014552150651445706
ANXIETY,0.016005304225309845
SWALLOWING DIFFICULTY_sum_ALLERGY ,0.017826913778715356
ALLERGY _sum_YELLOW_FINGERS,0.02011374275947501
CHEST PAIN_sum_PEER_PRESSURE,0.022908194186365714
WHEEZING_sum_ALLERGY ,0.023284561874633763
SMOKING,0.028650017905073592
CHRONIC DISEASE,0.0303296945432179
FATIGUE ,0.04461440227869169
SHORTNESS OF BREATH,0.06045139325572252
AGE,0.12441187968816918
