feature,mean_importance
ANXIETY,8.912640415281725e-05
GENDER,0.0024347974315194975
SHORTNESS OF BREATH,0.003794873891575401
AGE,0.003943122440084273
CHEST PAIN,0.00407701172956651
CHRONIC DISEASE,0.004219718747999595
SMOKING,0.00532036637107326
COUGHING,0.02088015536884009
YELLOW_FINGERS,0.021758679097623513
FATIGUE ,0.023874279777917194
SWALLOWING DIFFICULTY,0.03135168814491166
WHEEZING,0.06807262888553522
ALCOHOL CONSUMING,0.07272968790230369
PEER_PRESSURE,0.1041689171049621
ALLERGY ,0.2140918046074165
