feature,mean_importance
GENDER,-0.0005236489611482986
COUGHING,0.0002623984087112674
CHEST PAIN,0.004483604413257419
SHORTNESS OF BREATH,0.00793931721464559
SMOKING,0.011190723308994788
ANXIETY,0.01213656917772834
CHRONIC DISEASE,0.033480263300732935
AGE,0.05941188381525653
FATIGUE ,0.0721407007573273
WHEEZING,0.08631091144222747
ALCOHOL CONSUMING,0.08958619392629927
SWALLOWING DIFFICULTY,0.09461080775815407
YELLOW_FINGERS,0.11043415550862237
PEER_PRESSURE,0.15029261660740117
ALLERGY ,0.347792980277412
