feature,mean_importance
SMOKING,0.008745877535517883
GENDER,0.014306612485529108
CHRONIC DISEASE,0.020608185549590145
ANXIETY,0.025850617739388453
AGE,0.03108652235992842
COUGHING,0.03999617978699627
SHORTNESS OF BREATH,0.043386998616204236
YELLOW_FINGERS,0.04417596823099174
CHEST PAIN,0.047651062534568814
SWALLOWING DIFFICULTY,0.05883048009161718
WHEEZING,0.06390641133986925
FATIGUE ,0.06849515309135332
ALCOHOL CONSUMING,0.08582556372136332
ALLERGY ,0.1199485981204832
PEER_PRESSURE,0.14372777683428384
