feature,mean_importance
SMOKING,0.005910868450935203
COUGHING,0.00834914112830527
GENDER,0.009579211742685684
ANXIETY,0.026243589164961244
CHEST PAIN,0.027759579230457243
CHRONIC DISEASE,0.03481857716893744
WHEEZING,0.03548099510453094
YELLOW_FINGERS,0.0363509381439847
SWALLOWING DIFFICULTY,0.048640058543875604
AGE,0.04940039836274227
ALCOHOL CONSUMING,0.05167556152514945
SHORTNESS OF BREATH,0.05807514176137041
FATIGUE ,0.06860962949386998
ALLERGY ,0.09930349366478133
PEER_PRESSURE,0.1116222291165958
