feature,mean_importance
ALCOHOL CONSUMING_sum_ALLERGY ,-0.0004927607958441438
SWALLOWING DIFFICULTY,-0.00042365008617038514
ALLERGY ,0.0
PEER_PRESSURE,7.526006194224777e-05
CHEST PAIN,0.0002078598290048833
COUGHING,0.0008294963332478617
ALCOHOL CONSUMING_sum_PEER_PRESSURE,0.0009590174465361756
WHEEZING,0.0012674238414456002
ALCOHOL CONSUMING,0.0014523549976118682
YELLOW_FINGERS,0.0020481717078352003
SWALLOWING DIFFICULTY_sum_ALLERGY ,0.0028506692910306025
GENDER,0.005984652982112692
SWALLOWING DIFFICULTY_sum_COUGHING,0.007633976339051532
WHEEZING_sum_ALLERGY ,0.009182058688736386
COUGHING_sum_ALLERGY ,0.010080500607012807
CHEST PAIN_sum_PEER_PRESSURE,0.010350987688504893
ANXIETY,0.010449410243503075
ALLERGY _sum_YELLOW_FINGERS,0.012921411401492158
SWALLOWING DIFFICULTY_sum_ALCOHOL CONSUMING,0.013584638668106535
ALLERGY _sum_PEER_PRESSURE,0.022238743393452047
SHORTNESS OF BREATH,0.024138082175879323
CHRONIC DISEASE,0.05235316009477403
SMOKING,0.054869283011189304
FATIGUE ,0.06372430585662488
AGE,0.16759695234706892
