feature,mean_importance
GENDER,0.0001859520570897222
SHORTNESS OF BREATH,0.0024404120743073965
SMOKING,0.002489591988406209
CHRONIC DISEASE,0.0025241226441883704
ANXIETY,0.005719190176574185
AGE,0.008586676429750145
CHEST PAIN,0.017717343507139372
COUGHING,0.01850615940825768
YELLOW_FINGERS,0.020633815922537223
ALCOHOL CONSUMING,0.03371412117838548
FATIGUE ,0.039259850712915476
SWALLOWING DIFFICULTY,0.052636998705349713
WHEEZING,0.12269462235498545
PEER_PRESSURE,0.1453929627144111
ALLERGY ,0.22997487738955505
