feature,mean_importance
SMOKING,0.0003918668666956837
COUGHING,0.0023984706281370838
GENDER,0.0035505020953591425
SWALLOWING DIFFICULTY,0.004143905437985773
SHORTNESS OF BREATH,0.0052693225512291
ALCOHOL CONSUMING,0.005910269734225798
AGE,0.006069405204502759
ALLERGY ,0.006129143066349485
ANXIETY,0.006488753922870044
PEER_PRESSURE,0.006515855263751919
SWALLOWING DIFFICULTY_sum_COUGHING,0.009344393653513194
CHRONIC DISEASE,0.010104223505288201
CHEST PAIN,0.01046486340136013
YELLOW_FINGERS,0.011312426121920682
WHEEZING,0.012930216060837774
ALCOHOL CONSUMING_sum_ALLERGY ,0.01690437223663953
FATIGUE ,0.018957025637142334
COUGHING_sum_ALLERGY ,0.02437274448931635
ALLERGY _sum_YELLOW_FINGERS,0.028066516267062698
SWALLOWING DIFFICULTY_sum_ALLERGY ,0.02904593902778005
CHEST PAIN_sum_PEER_PRESSURE,0.029905992371696537
SWALLOWING DIFFICULTY_sum_ALCOHOL CONSUMING,0.03263775147517818
WHEEZING_sum_ALLERGY ,0.06328606562805908
ALLERGY _sum_PEER_PRESSURE,0.07882808583870428
ALCOHOL CONSUMING_sum_PEER_PRESSURE,0.1265853986209307
