feature,mean_importance
WHEEZING,0.010252659056270841
GENDER,0.020749661097928477
AGE,0.025047629974881504
ALCOHOL CONSUMING,0.027130645238682395
COUGHING,0.02847448615008318
ANXIETY,0.028797160621597796
CHEST PAIN,0.029826126087185788
SMOKING,0.049111888247227384
YELLOW_FINGERS,0.07966992751093134
CHRONIC DISEASE,0.08464259386763276
SWALLOWING DIFFICULTY,0.08627056060357123
SHORTNESS OF BREATH,0.08788707207948529
PEER_PRESSURE,0.09341877833145418
ALLERGY ,0.10804110459418581
FATIGUE ,0.22448767140443088
