feature,mean_importance
SMOKING,0.00013549336970734017
ANXIETY,0.005037262844273948
GENDER,0.005514697374282401
AGE,0.007391925585674914
SHORTNESS OF BREATH,0.00761454311833164
CHRONIC DISEASE,0.010469401017353896
CHEST PAIN,0.017851639849742966
FATIGUE ,0.03131104742482854
YELLOW_FINGERS,0.035414656449014995
COUGHING,0.04090159535781206
SWALLOWING DIFFICULTY,0.05224482067146861
WHEEZING,0.07616299692219414
ALCOHOL CONSUMING,0.09496981593159373
PEER_PRESSURE,0.1209289773709203
ALLERGY ,0.1340970110958133
