feature,mean_importance
GENDER,-0.001123564393181592
ANXIETY,0.0023544715593942834
CHEST PAIN,0.0025931889767039475
SMOKING,0.006114691539269057
COUGHING,0.006361377218711911
SHORTNESS OF BREATH,0.014129035516705118
AGE,0.02596861665203608
CHRONIC DISEASE,0.027186372544500216
WHEEZING,0.030068063037307767
ALCOHOL CONSUMING,0.04074666145960053
YELLOW_FINGERS,0.045155137732990555
SWALLOWING DIFFICULTY,0.06824549962534995
FATIGUE ,0.0879830924950459
PEER_PRESSURE,0.11336448315848777
ALLERGY ,0.12505436753229404
