feature,mean_importance
SMOKING,0.0
ALLERGY ,0.0
ALCOHOL CONSUMING,0.0
GENDER,0.0018484291777963624
WHEEZING,0.0018789550895788932
SWALLOWING DIFFICULTY,0.0021569384443888783
COUGHING,0.0033974301601477604
PEER_PRESSURE,0.004790561752087705
ANXIETY,0.009570548267893456
CHRONIC DISEASE,0.011225102753899683
CHEST PAIN,0.013675710973727953
CHEST PAIN_sum_PEER_PRESSURE,0.014275928335443291
ALCOHOL CONSUMING_sum_ALLERGY ,0.017576619277148868
COUGHING_sum_ALLERGY ,0.017748800871579047
YELLOW_FINGERS,0.017794581935557517
FATIGUE ,0.02043418773023937
ALLERGY _sum_YELLOW_FINGERS,0.024953856887349073
AGE,0.02592228891012157
SWALLOWING DIFFICULTY_sum_COUGHING,0.03882977679576849
SWALLOWING DIFFICULTY_sum_ALCOHOL CONSUMING,0.03906665614154834
ALLERGY _sum_PEER_PRESSURE,0.047340518382286256
SHORTNESS OF BREATH,0.05076746040487544
SWALLOWING DIFFICULTY_sum_ALLERGY ,0.05132862054108861
ALCOHOL CONSUMING_sum_PEER_PRESSURE,0.053391781156677
WHEEZING_sum_ALLERGY ,0.06433369245471114
