feature,mean_importance
SMOKING,-0.013800940762953389
COUGHING,-0.0028917027938611837
GENDER,0.001745055171385451
CHEST PAIN,0.0019407501741033673
SHORTNESS OF BREATH,0.0025271353318053356
ANXIETY,0.005932371586618379
CHRONIC DISEASE,0.024336593866963158
WHEEZING,0.028998579312239165
YELLOW_FINGERS,0.03066003246472309
SWALLOWING DIFFICULTY,0.05027731468221933
AGE,0.052325720532993135
ALCOHOL CONSUMING,0.05751882108475435
FATIGUE ,0.09292005442979488
PEER_PRESSURE,0.12979217280335759
ALLERGY ,0.32527172855400255
