feature,mean_importance
SMOKING,0.0
PEER_PRESSURE,0.0
ALLERGY ,0.0
ALCOHOL CONSUMING,0.0
COUGHING,0.0
SWALLOWING DIFFICULTY,0.0
SWALLOWING DIFFICULTY_sum_COUGHING,0.003630907829505631
GENDER,0.005274206810645332
WHEEZING,0.00700828498371509
AGE,0.007321869295966343
ANXIETY,0.008176305959832736
YELLOW_FINGERS,0.010135736223220986
CHRONIC DISEASE,0.013986762962702532
CHEST PAIN,0.019961029465003825
SHORTNESS OF BREATH,0.02689258646597593
ALLERGY _sum_YELLOW_FINGERS,0.02784464495125761
SWALLOWING DIFFICULTY_sum_ALLERGY ,0.030564220485713483
CHEST PAIN_sum_PEER_PRESSURE,0.032340491209005263
ALCOHOL CONSUMING_sum_ALLERGY ,0.03353498686104185
COUGHING_sum_ALLERGY ,0.033849402980917175
ALCOHOL CONSUMING_sum_PEER_PRESSURE,0.0390686978075232
ALLERGY _sum_PEER_PRESSURE,0.04350027530643276
SWALLOWING DIFFICULTY_sum_ALCOHOL CONSUMING,0.04518857832573285
FATIGUE ,0.05810251641823144
WHEEZING_sum_ALLERGY ,0.08018616354262112
