feature,mean_importance
PEER_PRESSURE,-0.0009792255650059923
ALLERGY ,0.001204426432854727
COUGHING,0.0015078914072584383
ALCOHOL CONSUMING_sum_ALLERGY ,0.001628058850360381
SMOKING,0.0019397291028107667
CHRONIC DISEASE,0.002802658487863896
CHEST PAIN_sum_PEER_PRESSURE,0.003273486221796118
GENDER,0.00559316954395705
SWALLOWING DIFFICULTY_sum_COUGHING,0.006497090973301489
WHEEZING_sum_ALLERGY ,0.006556014039172875
ANXIETY,0.00662209734865109
ALCOHOL CONSUMING,0.006820083638611368
YELLOW_FINGERS,0.009849480744979145
SWALLOWING DIFFICULTY,0.01421774764195426
SWALLOWING DIFFICULTY_sum_ALCOHOL CONSUMING,0.016179426956970784
COUGHING_sum_ALLERGY ,0.017420150937974305
CHEST PAIN,0.018397819908767647
SWALLOWING DIFFICULTY_sum_ALLERGY ,0.020384770541817265
FATIGUE ,0.02546500864391572
WHEEZING,0.02667592230654749
ALLERGY _sum_YELLOW_FINGERS,0.03184250979326678
AGE,0.03734643827259859
SHORTNESS OF BREATH,0.037899313571475045
ALCOHOL CONSUMING_sum_PEER_PRESSURE,0.08000948968819414
ALLERGY _sum_PEER_PRESSURE,0.11668875829335756
