feature,mean_importance
random_feature,-0.011431406483788953
GENDER,0.003419878681765637
CHEST PAIN,0.008132681825414424
COUGHING,0.01259075288479507
ANXIETY,0.023547530411397954
SMOKING,0.027980240674967682
WHEEZING,0.03131943384683437
SHORTNESS OF BREATH,0.03379911659914441
CHRONIC DISEASE,0.03856332410513328
YELLOW_FINGERS,0.05214914071305676
AGE,0.060918024584159
ALCOHOL CONSUMING,0.07019694360031016
FATIGUE ,0.07896875587032043
SWALLOWING DIFFICULTY,0.10084389771802468
PEER_PRESSURE,0.10989597158583049
ALLERGY ,0.12869402349584522
