feature,mean_importance
SMOKING,-0.0004250635724794449
YELLOW_FINGERS,0.0
ANXIETY,0.0
PEER_PRESSURE,0.0
CHEST PAIN,0.0
ALLERGY ,0.0
SWALLOWING DIFFICULTY,0.0
COUGHING,0.0
AGE,0.002539442392111002
CHRONIC DISEASE,0.0035653851190723617
ALCOHOL CONSUMING,0.005994370516989378
GENDER,0.007469773900558729
SHORTNESS OF BREATH,0.01372063383904255
ALLERGY _sum_YELLOW_FINGERS,0.01770811155007348
WHEEZING_sum_ALLERGY ,0.0322147698169406
SWALLOWING DIFFICULTY_sum_COUGHING,0.03579095814850839
WHEEZING,0.03697236621046222
SWALLOWING DIFFICULTY_sum_ALLERGY ,0.0439113707988523
FATIGUE ,0.04623294825730182
ALCOHOL CONSUMING_sum_ALLERGY ,0.046448115187385106
SWALLOWING DIFFICULTY_sum_ALCOHOL CONSUMING,0.04927147118001013
COUGHING_sum_ALLERGY ,0.05141722759170875
ALLERGY _sum_PEER_PRESSURE,0.06431887777369537
ALCOHOL CONSUMING_sum_PEER_PRESSURE,0.10309826074156261
CHEST PAIN_sum_PEER_PRESSURE,0.1127568776872782
