feature,weight
intercept,-4.889584354126054
GENDER,-0.07051046812937735
AGE,-0.0683001069161499
SMOKING,0.40475122978544903
YELLOW_FINGERS,1.607691264241054
ANXIETY,0.6764650563056617
PEER_PRESSURE,2.0985505208540562
CHRONIC DISEASE,1.876566164497706
FATIGUE ,1.2294882921241963
ALLERGY ,1.7185052888935854
WHEEZING,1.3909764076260533
ALCOHOL CONSUMING,1.2171959960325323
COUGHING,1.6268982774215297
SHORTNESS OF BREATH,0.22257924664600948
SWALLOWING DIFFICULTY,1.5411478103630498
CHEST PAIN,0.45108216744536683
