feature,mean_importance
SMOKING,0.0013876966589352446
AGE,0.0082075348705473
ANXIETY,0.01008301296478431
GENDER,0.013208704149195071
COUGHING,0.015700043716983525
SHORTNESS OF BREATH,0.018629102916509245
YELLOW_FINGERS,0.03002237391796697
FATIGUE ,0.03382038220163608
WHEEZING,0.038882636270243666
CHEST PAIN,0.04088815452643302
SWALLOWING DIFFICULTY,0.04928955955250085
PEER_PRESSURE,0.14686796099519572
ALLERGY ,0.16189813795233537
ALCOHOL CONSUMING,0.18910656025634767
CHRONIC DISEASE,0.2888018682832379
