feature,mean_importance
SMOKING,0.01061822848979468
GENDER,0.011520288679164725
CHRONIC DISEASE,0.012076896498838207
COUGHING,0.015841437264594048
YELLOW_FINGERS,0.019013710880115463
WHEEZING,0.027882018718467926
AGE,0.02845155549298739
ANXIETY,0.0326996354602225
FATIGUE ,0.03667359377601089
CHEST PAIN,0.04808020945332233
SWALLOWING DIFFICULTY,0.050319743104569534
ALCOHOL CONSUMING,0.05546814107378602
SHORTNESS OF BREATH,0.07061486349020613
PEER_PRESSURE,0.10319645786462917
ALLERGY ,0.1220005239472232
