feature,mean_importance
ANXIETY,-0.032900456347733656
COUGHING,-0.011941746163530702
ALCOHOL CONSUMING,0.003607286496301404
CHEST PAIN,0.008865824487794698
AGE,0.009114787889845367
WHEEZING,0.012535126796002643
GENDER,0.015831774366164158
SWALLOWING DIFFICULTY,0.02063109096270589
SMOKING,0.036430601765382445
YELLOW_FINGERS,0.05074215188331317
ALLERGY ,0.05716847596387777
PEER_PRESSURE,0.0939167639055545
SHORTNESS OF BREATH,0.12909845878486778
CHRONIC DISEASE,0.1375725817173911
FATIGUE ,0.26010050500219695
