feature,mean_importance
COUGHING,-0.0006957680476725514
SHORTNESS OF BREATH,0.00030156369217212986
ANXIETY,0.002299458049497588
GENDER,0.00871819790438318
CHEST PAIN,0.009789483147140931
SMOKING,0.01280179649435641
CHRONIC DISEASE,0.013760451718917738
SWALLOWING DIFFICULTY,0.02996953710355247
FATIGUE ,0.040511358551132616
AGE,0.05548364433123796
WHEEZING,0.07146658465252574
YELLOW_FINGERS,0.07243664487673891
ALCOHOL CONSUMING,0.09588170512603987
PEER_PRESSURE,0.1453643994802083
ALLERGY ,0.36478828176283706
