feature,mean_importance
COUGHING,-0.005060520606825056
GENDER,0.0023036803540961576
SHORTNESS OF BREATH,0.008202688512393252
SMOKING,0.01123161784195278
CHRONIC DISEASE,0.012159229240255457
ANXIETY,0.014411772553527033
YELLOW_FINGERS,0.0172069154724463
WHEEZING,0.02148751642381239
CHEST PAIN,0.024697145253270835
AGE,0.02727668207726287
SWALLOWING DIFFICULTY,0.03066889125052209
FATIGUE ,0.040317733610642364
ALCOHOL CONSUMING,0.058866523509202996
PEER_PRESSURE,0.05897374726371187
ALLERGY ,0.07979966363820067
