feature,mean_importance
COUGHING,0.00014688513083034317
SHORTNESS OF BREATH,0.006665240246790449
ANXIETY,0.009149265199699497
SMOKING,0.014429770809567522
GENDER,0.019764574265801232
CHRONIC DISEASE,0.0250887345699279
CHEST PAIN,0.025335189849394053
SWALLOWING DIFFICULTY,0.031490456231394806
WHEEZING,0.0780861569382612
PEER_PRESSURE,0.08621724991336177
AGE,0.0885483113264004
YELLOW_FINGERS,0.08935476143436334
FATIGUE ,0.09855007957100045
ALCOHOL CONSUMING,0.1533721575512708
ALLERGY ,0.31317934406154724
