name,model_type,metric_type,metric_value,train_time,single_prediction_time
1_Linear,Linear,f1,0.9288888888888889,15.97,0.0281
2_Default_LightGBM,LightGBM,f1,0.9624724061810155,15.92,0.0132
3_Default_Xgboost,Xgboost,f1,0.9623059866962306,16.69,0.0187
4_Default_CatBoost,CatBoost,f1,0.9647577092511013,22.71,0.0245
5_Default_NeuralNetwork,Neural Network,f1,0.9330357142857143,25.43,0.0276
6_Default_RandomForest,Random Forest,f1,0.9224137931034483,19.4,0.1371
11_LightGBM,LightGBM,f1,0.9401709401709402,15.79,0.0113
7_Xgboost,Xgboost,f1,0.9492273730684326,16.08,0.0142
15_CatBoost,CatBoost,f1,0.9644444444444444,14.99,0.0196
19_RandomForest,Random Forest,f1,0.9601769911504425,18.01,0.1148
23_NeuralNetwork,Neural Network,f1,0.9419642857142857,15.17,0.0328
12_LightGBM,LightGBM,f1,0.9671772428884027,16.23,0.0114
8_Xgboost,Xgboost,f1,0.9626373626373627,17.13,0.0187
16_CatBoost,CatBoost,f1,0.9623059866962306,16.62,0.0145
20_RandomForest,Random Forest,f1,0.9250535331905781,19.16,0.1358
24_NeuralNetwork,Neural Network,f1,0.9401330376940134,15.97,0.03
13_LightGBM,LightGBM,f1,0.9667405764966741,18.61,0.0121
9_Xgboost,Xgboost,f1,0.8953229398663697,17.22,0.0154
17_CatBoost,CatBoost,f1,0.9668874172185431,16.82,0.0138
21_RandomForest,Random Forest,f1,0.9049586776859504,19.49,0.1574
25_NeuralNetwork,Neural Network,f1,0.9368191721132898,17.51,0.0298
14_LightGBM,LightGBM,f1,0.9668874172185431,19.25,0.0126
10_Xgboost,Xgboost,f1,0.6666666666666666,17.26,0.0156
18_CatBoost,CatBoost,f1,0.9647577092511013,17.67,0.0137
22_RandomForest,Random Forest,f1,0.918918918918919,19.75,0.1178
26_NeuralNetwork,Neural Network,f1,0.9429824561403509,17.24,0.0277
12_LightGBM_GoldenFeatures,LightGBM,f1,0.9623059866962306,18.34,0.0284
14_LightGBM_GoldenFeatures,LightGBM,f1,0.9646017699115044,19.7,0.0278
17_CatBoost_GoldenFeatures,CatBoost,f1,0.9582417582417583,18.21,0.0346
12_LightGBM_RandomFeature,LightGBM,f1,0.9646017699115044,19.03,0.014
27_LightGBM,LightGBM,f1,0.9650655021834061,19.07,0.0123
28_LightGBM,LightGBM,f1,0.9646017699115044,19.5,0.0119
29_CatBoost,CatBoost,f1,0.9667405764966741,18.16,0.0156
30_CatBoost,CatBoost,f1,0.9695652173913043,18.75,0.0146
31_Xgboost,Xgboost,f1,0.9538461538461539,19.22,0.0131
32_Xgboost,Xgboost,f1,0.9492273730684326,19.15,0.0151
33_RandomForest,Random Forest,f1,0.9601769911504425,20.82,0.145
34_RandomForest,Random Forest,f1,0.9421841541755889,29.97,0.1295
35_NeuralNetwork,Neural Network,f1,0.9133192389006343,23.52,0.0502
36_NeuralNetwork,Neural Network,f1,0.9133192389006343,19.15,0.0301
37_NeuralNetwork,Neural Network,f1,0.9419642857142857,19.5,0.0409
38_NeuralNetwork,Neural Network,f1,0.9375,20.61,0.0284
39_RandomForest,Random Forest,f1,0.9584245076586433,24.68,0.124
40_RandomForest,Random Forest,f1,0.9154639175257732,25.32,0.2265
41_CatBoost,CatBoost,f1,0.9695652173913043,25.52,0.0169
42_CatBoost,CatBoost,f1,0.9713024282560706,25.03,0.0504
43_CatBoost,CatBoost,f1,0.9646017699115044,24.46,0.0228
44_CatBoost,CatBoost,f1,0.9690265486725663,26.49,0.0231
45_RandomForest,Random Forest,f1,0.956140350877193,25.63,0.2178
46_RandomForest,Random Forest,f1,0.9534368070953437,28.85,0.1242
47_NeuralNetwork,Neural Network,f1,0.9422222222222222,21.51,0.0517
48_NeuralNetwork,Neural Network,f1,0.9508928571428571,23.37,0.0302
49_NeuralNetwork,Neural Network,f1,0.9414414414414415,20.24,0.0388
50_NeuralNetwork,Neural Network,f1,0.9419642857142857,25.1,0.0379
Ensemble,Ensemble,f1,0.973568281938326,7.54,0.1539
