feature,mean_importance
GENDER,-0.004882609610889321
ANXIETY,7.463178354552569e-05
CHEST PAIN,0.001334942247448273
COUGHING,0.004483006814605839
SMOKING,0.016360241019502054
SHORTNESS OF BREATH,0.016940746749228536
ALCOHOL CONSUMING,0.03692322300690792
WHEEZING,0.045240804448764195
AGE,0.052297376362064975
CHRONIC DISEASE,0.05307835107822066
YELLOW_FINGERS,0.0625898271511436
PEER_PRESSURE,0.10578211481019313
SWALLOWING DIFFICULTY,0.14764934946242272
FATIGUE ,0.17218945189314316
ALLERGY ,0.17478713258749806
