feature,mean_importance
SMOKING,0.005250759444453435
CHRONIC DISEASE,0.015294770231817401
CHEST PAIN,0.01555854091316754
GENDER,0.016391499908432926
COUGHING,0.019293148070865667
ANXIETY,0.030730147004578868
SWALLOWING DIFFICULTY,0.03923757395735318
ALCOHOL CONSUMING,0.04159852124214108
FATIGUE ,0.044101540662313005
AGE,0.050661797708532866
SHORTNESS OF BREATH,0.05689981520964123
YELLOW_FINGERS,0.05901380711375709
WHEEZING,0.06245427991844939
ALLERGY ,0.11632054576381176
PEER_PRESSURE,0.11761709109376206
