feature,mean_importance
GENDER,-0.025696127588756362
CHEST PAIN,-0.0023735733493804893
ALCOHOL CONSUMING_sum_PEER_PRESSURE,-0.0014678166003781357
SWALLOWING DIFFICULTY,-0.0013557404968603526
WHEEZING,-0.0012182341643531436
COUGHING_sum_ALLERGY ,-0.0009088290156299361
ALCOHOL CONSUMING,-0.000699692307904351
COUGHING,-0.0006987425617032805
CHEST PAIN_sum_PEER_PRESSURE,-0.00040420745658011905
ALLERGY _sum_YELLOW_FINGERS,-0.00033602119465690473
YELLOW_FINGERS,9.160091953088755e-05
PEER_PRESSURE,0.0009697819082347431
ALLERGY ,0.0012443961566720285
ANXIETY,0.0017163132325261482
SWALLOWING DIFFICULTY_sum_ALLERGY ,0.002414063385062312
SWALLOWING DIFFICULTY_sum_COUGHING,0.002595593497717652
SWALLOWING DIFFICULTY_sum_ALCOHOL CONSUMING,0.004418795297104802
ALCOHOL CONSUMING_sum_ALLERGY ,0.00476862216183549
SMOKING,0.0074958598881896795
SHORTNESS OF BREATH,0.015611269896788496
ALLERGY _sum_PEER_PRESSURE,0.019171487563195522
FATIGUE ,0.02046293720948609
WHEEZING_sum_ALLERGY ,0.028113821404149437
CHRONIC DISEASE,0.030148983070925717
AGE,0.08161061589972297
