feature,mean_importance
SHORTNESS OF BREATH,-0.0025579073099368578
AGE,6.329139321988863e-05
GENDER,0.0017313809838357952
CHEST PAIN,0.00932938870955446
SMOKING,0.0207475550488505
ANXIETY,0.020958590048375282
CHRONIC DISEASE,0.03886758965889535
WHEEZING,0.038914001463284664
COUGHING,0.04652522072288301
ALCOHOL CONSUMING,0.04890595103925306
SWALLOWING DIFFICULTY,0.0550001166104391
ALLERGY ,0.06350811922326208
YELLOW_FINGERS,0.06579324814775174
PEER_PRESSURE,0.08549583509451719
FATIGUE ,0.0908800590019684
