feature,mean_importance
SMOKING,0.0017019054614195728
ANXIETY,0.0018602751116819083
GENDER,0.0019026243401527698
SHORTNESS OF BREATH,0.0024064208106816644
CHRONIC DISEASE,0.0028042237117389735
YELLOW_FINGERS,0.003981056482062084
FATIGUE ,0.006788799383606103
AGE,0.008676050410654501
COUGHING,0.017810070652962907
SWALLOWING DIFFICULTY,0.03498242444492676
CHEST PAIN,0.04020464108971371
WHEEZING,0.050199520549563545
ALCOHOL CONSUMING,0.09623948198378547
PEER_PRESSURE,0.13159112560288633
ALLERGY ,0.2449399305749119
