feature,mean_importance
AGE,0.0034688056925430864
SMOKING,0.006023181875965566
CHRONIC DISEASE,0.011868713607077285
ANXIETY,0.013610441438927945
COUGHING,0.020499866057240534
YELLOW_FINGERS,0.021007950879445635
SHORTNESS OF BREATH,0.02329506090243113
ALLERGY ,0.03582646213994396
WHEEZING,0.038291544033668835
ALCOHOL CONSUMING,0.039291320100774164
SWALLOWING DIFFICULTY,0.039717804411353405
PEER_PRESSURE,0.041796273274717376
CHEST PAIN,0.0551539072163312
FATIGUE ,0.06752857294236131
GENDER,0.08731264848029696
