feature,mean_importance
GENDER,-0.006164073097123401
COUGHING,-0.004261210799076184
ANXIETY,0.0011685463875080015
SHORTNESS OF BREATH,0.0012932187296312125
CHEST PAIN,0.014789575768588775
SMOKING,0.016021429968633715
SWALLOWING DIFFICULTY,0.017739514022496315
WHEEZING,0.02522905989806462
CHRONIC DISEASE,0.02962170642595166
AGE,0.04298638557259541
FATIGUE ,0.05493335601234397
PEER_PRESSURE,0.06724394122207485
YELLOW_FINGERS,0.08018653653103955
ALCOHOL CONSUMING,0.11446880275384456
ALLERGY ,0.3503209992515379
