feature,mean_importance
SMOKING,-0.011465229324588776
COUGHING,-0.0017291874684590368
GENDER,0.0018677377542209328
SHORTNESS OF BREATH,0.003665661939529402
CHEST PAIN,0.00463529494966271
ANXIETY,0.006180739082439013
CHRONIC DISEASE,0.024233748385051913
WHEEZING,0.030621321666008623
YELLOW_FINGERS,0.03365714867602397
AGE,0.051998623059208895
SWALLOWING DIFFICULTY,0.054041531154655244
ALCOHOL CONSUMING,0.05992184682519004
FATIGUE ,0.08675605607494984
PEER_PRESSURE,0.136561773468584
ALLERGY ,0.33546676763989236
