feature,mean_importance
GENDER,-0.008286964913873452
COUGHING,-0.002135452349537209
WHEEZING,0.008603715078681424
CHRONIC DISEASE,0.011677885108200442
CHEST PAIN,0.013106431113926491
SMOKING,0.013436224365372807
ANXIETY,0.013581925093817657
SWALLOWING DIFFICULTY,0.015462023897635943
SHORTNESS OF BREATH,0.015504357353477289
YELLOW_FINGERS,0.024969099124460676
AGE,0.031819415987626956
FATIGUE ,0.04837193301449133
PEER_PRESSURE,0.05267208506674592
ALCOHOL CONSUMING,0.07432942637369808
ALLERGY ,0.09412555460117937
