feature,mean_importance
COUGHING_sum_ALLERGY ,-0.004831250609978419
WHEEZING,-0.003994233756331686
GENDER,-0.0034505974962862978
SWALLOWING DIFFICULTY_sum_COUGHING,-0.0011339705529391868
SWALLOWING DIFFICULTY,-0.0010143042462586321
ALLERGY ,-7.879314832327233e-05
COUGHING,0.0
CHEST PAIN,5.596531349574274e-05
ALCOHOL CONSUMING,0.00026051757529027276
ALLERGY _sum_PEER_PRESSURE,0.001480124810639069
PEER_PRESSURE,0.0021651887236137203
YELLOW_FINGERS,0.005607760520415469
SWALLOWING DIFFICULTY_sum_ALLERGY ,0.006308468374514137
ANXIETY,0.006628553820054209
ALCOHOL CONSUMING_sum_ALLERGY ,0.006947446799565471
SMOKING,0.007371301415227846
FATIGUE ,0.007654479977448214
CHRONIC DISEASE,0.01006482934249689
ALLERGY _sum_YELLOW_FINGERS,0.010708052530761967
SWALLOWING DIFFICULTY_sum_ALCOHOL CONSUMING,0.010913999488997328
SHORTNESS OF BREATH,0.015531331505257004
WHEEZING_sum_ALLERGY ,0.015802051584043696
ALCOHOL CONSUMING_sum_PEER_PRESSURE,0.017364061943365518
CHEST PAIN_sum_PEER_PRESSURE,0.019372715714730468
AGE,0.03864292487070966
