feature,mean_importance
GENDER,-2.7755575615628914e-17
CHRONIC DISEASE,0.0016041600763043284
SMOKING,0.002807967444655468
AGE,0.003137934006497528
SHORTNESS OF BREATH,0.003328112977698733
ANXIETY,0.005815242426045142
COUGHING,0.01710178253061842
CHEST PAIN,0.022613328354325956
SWALLOWING DIFFICULTY,0.028293644812844458
YELLOW_FINGERS,0.02896056397920721
FATIGUE ,0.029986614156359347
WHEEZING,0.07668849646610638
ALCOHOL CONSUMING,0.10898094185552884
PEER_PRESSURE,0.14130142360046022
ALLERGY ,0.2700117613999059
